Date,Open,High,Low,Close,Dol
11/09/2007,52659.64,53953.99,52659.64,53920.57,1.9237
12/09/2007,53921.81,54621.83,53718.36,53882.71,1.909
13/09/2007,53882.71,55086.96,53882.71,54908.18,1.904
14/09/2007,54909.01,55465.17,54378.19,54671,1.9005
17/09/2007,54671,54733,53690.65,54340.54,1.9195
18/09/2007,54351.04,56844.21,54351.04,56666.3,1.877
19/09/2007,56674.65,58079.23,56674.65,57264.22,1.8681
20/09/2007,57262.52,57609.08,56607.45,56906.44,1.8819
21/09/2007,56919.43,57899.41,56919.43,57798.79,1.8677
24/09/2007,57799.05,58719.37,57799.05,58719.37,1.8701
25/09/2007,58717.11,58861.96,57968.77,58857.78,1.8591
26/09/2007,58858.7,59825.45,58858.7,59714.83,1.846
27/09/2007,59713.22,61052.44,59713.22,61052.44,1.843
28/09/2007,61054.34,61054.34,60086.15,60465.06,1.8336
01/10/2007,60465.06,62355.43,60465.06,62340.34,1.809
02/10/2007,62340.81,62356.09,61240.82,62017.12,1.8242
03/10/2007,62020.95,62020.95,60093.52,60098.57,1.839
04/10/2007,60102.34,61080.12,59535.84,60406.72,1.8244
05/10/2007,60408.44,62704.03,60408.44,62318.72,1.804
08/10/2007,62318.56,62724.95,61841.04,62660.85,1.8178
09/10/2007,62660.85,63658.27,62660.85,63548.69,1.803
10/10/2007,63549.84,63565.13,62894.13,63197.04,1.8041
11/10/2007,63197.04,64168.92,61487.32,62455.77,1.8055
15/10/2007,62455.77,63841.34,62411.96,62969.44,1.8143
16/10/2007,62964.72,62964.72,61564.64,61717.9,1.8147
17/10/2007,61720.18,63193.67,61459.8,63193.67,1.8217
18/10/2007,63192.24,63322.03,61943.44,63261.33,1.7848
19/10/2007,63270.18,63348.94,60882.69,60894.29,1.8035
22/10/2007,60884.38,61378.65,59472.98,61215.13,1.817
23/10/2007,61213.66,62773.27,61213.66,62697.14,1.7966
24/10/2007,62693.17,62815.64,61447.77,62624.81,1.8076
25/10/2007,62627.95,63206.11,61968.42,62341.49,1.7943
26/10/2007,62345.55,64319.88,62345.55,64275.58,1.768
29/10/2007,64275.19,65670.01,64275.19,65044.31,1.756
30/10/2007,65044.31,65147.1,64264.33,64383.13,1.7524
31/10/2007,64385.35,65948.89,64385.35,65317.7,1.736
01/11/2007,65316.79,65316.86,63773.65,64050.08,1.7477
